recipe_id,name,cuisine,category,ingredients,steps,calories,veg,health_tags,flavor_profile,season,suitable_for_diabetes,suitable_for_bp,suitable_for_heart_condition
1,Garlic Naan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Ghee, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Ghee.",352,yes,"savory, traditional",Savory,All,yes,maybe,no
2,Tandoori Naan,Pakistani,Bread,"500g Wheat/All-purpose flour, 1 cup Water, 2 tbsp Ghee, Salt","1. Sieve the flour and add salt and water gradually. 2. Knead into a soft, elastic dough and apply a thin layer of oil. 3. Cover with a damp cloth and rest for 30-45 minutes. 4. Divide into equal balls, roll into circles with a rolling pin. 5. Cook on a preheated tawa or in a tandoor until bubbles appear, then flip and apply  2 tbsp Ghee.",173,yes,"savory, traditional",Savory,All,yes,yes,yes
3,Dahi Bhallay,Pakistani,Snack,"Flour/Besan, Lemon, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Dahi Bhallay specific chutneys.",310,yes,"savory, traditional",Savory,All,yes,yes,yes
4,Bun Kebab,Pakistani,Snack,"Flour/Besan, Potato, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Bun Kebab specific chutneys.",256,no,"spicy, traditional",Spicy,All,yes,yes,no
5,Chicken Biryani,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",790,no,"spicy, traditional",Spicy,All,no,maybe,no
6,Suji ka Halwa,Pakistani,Dessert,"2 cups Paneer, 1 cup Sugar, Cardamom, Saffron, Nuts",1. Bring milk or water to a rolling boil in a heavy-bottomed pot. 2. Add sugar and stir continuously until fully dissolved. 3. Incorporate the primary flavorings like cardamom or saffron. 4. Lower the heat and simmer until the mixture thickens to the desired consistency. 5. Garnish with chopped nuts and raisins before serving warm or chilled.,550,yes,"sweet, traditional",Sweet,All,no,maybe,no
7,Mutton Jalfrezi,Pakistani,Main Course,"1kg Mutton, 2 Garlic, 1 tbsp Turmeric, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,805,no,"spicy, traditional",Spicy,All,no,maybe,no
8,Chana Pulao,Pakistani,Rice,"500g Basmati Rice, Sugar, Whole spices, Ghee","1. Wash the rice multiple times until the water runs clear, then soak for 30 minutes. 2. Sauté whole spices and onions in a pot until golden. 3. Add the meat or vegetables with spices and cook until tender. 4. In a separate pot, boil water with salt and cook rice until 70% done. 5. Layer the rice over the base, add saffron or food color. 6. Seal the pot and simmer (Dum) on low heat for 15-20 minutes to allow flavors to meld.",617,yes,"spicy, traditional",Spicy,All,no,maybe,no
9,Prawns Haleem,Pakistani,Main Course,"1kg Prawns, 2 Ginger, 1 tbsp Garam Masala, Oil, Salt",1. Sear meat with ginger-garlic. 2. Add spices and tomatoes. 3. Slow cook until tender. 4. Garnish and serve.,888,no,"spicy, traditional",Spicy,All,no,maybe,no
10,Pakora,Pakistani,Snack,"Flour/Besan, Garlic, Oil for frying, Spices","1. In a large bowl, mix the base ingredients with spices like cumin and chili. 2. Add water slowly to achieve a thick, smooth consistency. 3. Dip the prepared fillings into the batter, ensuring even coating. 4. Heat oil in a deep pan and carefully drop the pieces. 5. Fry on medium heat until golden brown and crispy. 6. Drain excess oil and serve with Pakora specific chutneys.",427,yes,"spicy, traditional",Spicy,All,no,maybe,no
